sample_id,group_id,split
365,335,test
366,336,test
367,337,test
368,338,test
369,339,validation
370,340,validation
371,341,validation
372,342,validation
373,343,validation
374,344,test
375,345,validation
376,346,validation
377,347,test
378,307,validation
379,348,validation
380,349,test
381,350,test
382,263,test
383,71,test
384,307,validation
385,351,validation
386,352,test
387,353,test
388,354,validation
389,304,validation
390,355,validation
391,356,validation
392,357,validation
393,358,test
394,359,test
395,360,validation
396,361,validation
397,362,validation
398,363,validation
399,364,validation
400,365,validation
401,366,validation
402,367,test
403,368,validation
404,369,validation
405,370,validation
406,371,test
407,372,test
408,373,test
409,374,test
410,375,test
411,374,test
412,376,validation
413,377,validation
414,378,test
415,379,test
416,380,test
417,381,validation
418,382,validation
419,383,validation
420,384,test
421,385,test
422,386,test
423,387,test
424,388,test
425,389,test
426,374,test
427,390,test
428,391,validation
429,392,test
430,393,test
431,394,validation
432,395,test
433,396,test
434,397,validation
435,398,test
436,399,test
437,400,validation
438,401,test
439,402,test
440,403,test
441,404,validation
442,405,validation
443,406,test
444,407,test
445,408,test
446,409,validation
447,410,test
448,411,validation
449,412,test
450,413,test
451,414,validation
452,415,validation
453,416,test
454,417,validation
455,81,validation
456,418,test
457,419,test
458,420,test
459,421,validation
460,422,test
461,423,test
462,424,test
463,425,test
464,425,test
465,426,validation
466,427,validation
467,428,validation
468,429,validation
469,430,validation
470,431,validation
471,432,test
472,433,test
473,434,validation
474,435,validation
475,436,validation
476,92,validation
477,437,validation
478,438,test
479,439,test
480,440,test
481,441,validation
482,442,test
483,443,test
484,444,validation
485,445,test
486,446,test
487,447,validation
488,448,validation
489,449,test
490,450,validation
491,451,test
492,452,validation
493,453,validation
494,454,test
495,455,test
496,456,validation
497,457,test
498,307,test
499,458,validation
500,459,test
501,460,validation
502,461,validation
503,462,test
504,463,validation
505,464,validation
506,465,test
507,466,test
508,467,test
509,468,test
510,469,validation
511,470,test
512,471,validation
513,472,validation
514,473,test
515,474,validation
516,475,validation
517,476,validation
518,477,test
519,478,test
520,479,validation
521,480,test
522,481,test
523,482,validation
524,483,validation
525,484,validation
526,485,test
527,486,test
528,487,test
529,488,test
530,474,test
531,474,validation
532,489,test
533,490,test
534,474,test
535,491,test
536,492,validation
537,493,validation
538,494,test
539,495,validation
540,430,validation
541,496,validation
542,497,test
543,498,test
544,499,test
545,500,validation
546,501,validation
547,502,test
548,503,test
549,504,test
550,505,validation
551,506,validation
552,507,test
553,508,test
554,509,test
555,510,test
556,511,test
557,512,test
558,513,validation
559,514,validation
560,515,validation
561,516,test
562,517,validation
563,518,validation
564,519,test
565,520,test
566,521,validation
567,522,test
568,523,test
569,326,validation
570,524,test
571,525,test
572,526,test
573,443,test
574,527,validation
575,528,test
576,529,validation
577,443,validation
578,530,validation
579,531,test
580,532,validation
581,533,test
582,348,test
583,534,test
584,535,validation
585,536,test
586,537,validation
587,538,validation
588,539,test
589,540,validation
590,541,test
591,541,test
592,542,validation
593,543,validation
594,544,test
595,545,validation
596,546,test
597,547,test
598,548,test
599,549,test
600,475,validation
601,550,test
602,551,test
603,552,validation
604,553,test
605,554,test
606,555,validation
607,556,test
608,557,validation
609,558,validation
610,559,test
611,560,test
612,561,test
613,562,test
614,563,validation
615,564,validation
616,454,validation
617,565,test
618,566,test
619,567,validation
620,568,test
621,568,test
622,569,validation
623,570,validation
624,571,validation
625,572,validation
626,573,test
627,574,validation
628,575,validation
629,576,test
630,577,test
631,578,validation
632,579,test
633,580,validation
634,581,test
635,582,validation
636,583,test
637,584,test
638,585,validation
639,586,validation
640,587,validation
641,588,validation
642,589,test
643,590,test
644,591,test
645,592,validation
646,593,validation
647,594,test
648,594,validation
649,595,test
650,596,test
651,597,test
652,598,validation
653,599,validation
654,600,test
655,590,test
656,601,validation
657,602,test
658,603,validation
659,604,validation
660,605,validation
661,606,validation
662,607,test
663,608,validation
664,609,test
665,610,validation
666,611,validation
667,612,validation
668,613,test
669,614,validation
670,615,test
671,616,validation
672,617,test
673,618,validation
674,619,test
675,620,validation
676,621,test
677,622,test
678,623,test
679,624,test
680,625,test
681,626,validation
682,627,validation
683,626,validation
684,628,validation
685,629,test
686,630,test
687,631,validation
688,632,validation
689,633,validation
690,634,test
691,635,test
692,636,validation
693,637,test
694,638,test
695,639,test
696,640,validation
697,641,test
698,642,validation
699,643,validation
700,644,test
701,645,validation
702,646,validation
703,647,validation
704,648,validation
705,649,test
706,650,validation
707,651,test
708,652,validation
709,653,validation
710,653,validation
711,654,validation
712,655,validation
713,656,validation
714,657,test
715,658,test
716,659,validation
717,550,validation
718,177,test
719,660,test
720,661,validation
721,661,validation
722,662,validation
723,663,validation
724,311,validation
725,664,validation
726,665,validation
727,666,test
728,667,validation
729,668,test
730,669,validation
731,670,test
732,671,validation
733,672,test
734,673,validation
735,674,validation
736,675,test
737,676,test
738,677,validation
739,678,validation
740,679,validation
741,680,test
742,681,test
743,682,validation
744,683,test
745,684,validation
746,685,test
747,686,validation
748,687,test
749,688,test
750,689,validation
751,690,test
752,691,validation
753,692,validation
754,693,test
755,694,test
756,695,test
757,696,validation
758,697,validation
759,698,test
760,699,validation
761,700,test
762,701,validation
763,702,validation
764,703,test
765,704,test
766,705,validation
767,706,test
768,707,validation
769,708,validation
770,709,validation
771,710,validation
772,177,test
773,711,validation
774,594,validation
775,712,validation
776,713,test
777,714,validation
778,715,validation
779,716,validation
780,263,test
781,263,test
782,717,test
783,718,test
784,719,validation
785,720,test
786,721,test
787,722,test
788,723,test
789,724,test
790,725,test
791,726,validation
792,727,test
793,728,validation
794,729,test
795,730,validation
796,731,validation
797,732,validation
798,733,test
799,734,validation
800,735,test
801,736,test
802,737,test
803,738,test
804,739,validation
805,740,test
806,741,validation
807,742,test
808,743,test
809,744,test
810,745,test
811,746,test
812,747,test
813,748,validation
814,749,validation
815,750,validation
816,751,validation
817,752,test
818,753,validation
819,754,test
820,755,validation
821,756,test
822,757,validation
823,758,validation
824,759,validation
825,760,validation
826,761,validation
827,762,validation
828,763,validation
829,764,test
830,765,validation
831,766,test
832,767,validation
833,768,validation
834,769,test
835,595,validation
836,770,test
837,771,validation
838,772,test
839,773,test
840,774,test
841,475,test
842,775,test
843,776,test
844,777,test
845,778,test
846,779,validation
847,780,test
848,177,validation
849,781,test
850,782,validation
851,782,validation
852,783,validation
853,784,validation
854,785,validation
855,786,test
856,787,test
857,788,test
858,789,test
859,790,test
860,791,validation
861,792,test
862,793,test
863,794,validation
864,795,test
865,796,validation
866,797,test
867,798,test
868,799,validation
869,800,test
870,801,validation
871,802,test
872,803,validation
873,793,test
874,804,test
875,805,validation
876,806,validation
877,807,validation
878,808,validation
879,809,test
880,810,validation
881,811,test
882,812,validation
883,813,test
884,814,validation
885,815,test
886,816,test
887,817,validation
888,818,test
889,819,test
890,820,test
891,821,test
892,822,test
893,823,validation
894,824,validation
895,825,validation
896,826,validation
897,253,test
898,827,test
899,828,validation
900,829,test
901,830,validation
902,831,test
903,832,test
904,833,validation
905,834,validation
906,265,test
907,550,test
908,835,test
909,836,validation
910,837,test
911,838,test
912,839,test
913,840,test
914,841,validation
915,842,test
916,843,test
917,844,test
918,845,validation
919,846,validation
920,847,validation
921,848,validation
922,849,validation
923,850,test
924,851,validation
925,852,validation
926,853,test
927,854,test
928,855,validation
929,856,test
930,857,test
931,858,test
932,859,test
933,860,validation
934,861,validation
935,862,validation
936,820,validation
937,863,test
938,864,validation
939,865,validation
940,866,test
941,867,test
942,868,test
943,869,validation
944,870,test
945,871,test
946,872,validation
947,873,test
948,874,validation
949,875,test
950,876,validation
951,877,validation
952,72,test
953,878,validation
954,879,validation
955,880,validation
956,881,validation
957,882,validation
958,883,test
959,884,validation
960,885,validation
961,886,test
962,887,test
963,888,validation
964,594,test
965,889,test
966,890,validation
967,891,validation
968,892,validation
969,893,test
970,894,test
971,895,validation
972,896,validation
973,897,test
974,898,test
975,899,validation
976,900,test
977,901,validation
978,902,test
979,903,test
980,904,validation
981,905,validation
982,906,validation
983,907,test
984,802,validation
985,908,validation
986,909,test
987,910,validation
988,911,test
989,912,validation
990,913,test
991,914,validation
992,915,validation
993,916,test
994,917,validation
995,918,validation
996,919,validation
997,920,validation
998,921,test
999,922,test
1000,923,test
1001,924,test
1002,925,validation
1003,926,validation
1004,927,test
1005,928,test
1006,929,validation
1007,930,validation
1008,931,validation
1009,932,validation
1010,933,test
1011,934,test
1012,935,validation
1013,936,validation
1014,937,test
1015,838,validation
1016,938,validation
1017,939,test
1018,940,test
1019,941,validation
1020,942,validation
1021,943,validation
1022,944,validation
1023,944,test
1024,945,validation
1025,946,test
1026,947,validation
1027,948,test
1028,949,validation
1029,950,test
1030,951,validation
1031,952,validation
1032,953,test
1033,954,test
1034,955,test
1035,956,validation
1036,957,test
1037,958,test
1038,959,validation
1039,960,validation
1040,961,validation
1041,962,test
1042,963,validation
1043,964,test
1044,965,test
1045,966,validation
1046,967,validation
1047,968,test
1048,969,test
1049,970,validation
1050,971,test
1051,972,validation
1052,973,validation
1053,974,test
1054,975,test
1055,976,test
1056,977,test
1057,978,test
1058,979,test
1059,980,validation
1060,594,validation
1061,981,test
1062,982,validation
1063,983,validation
1064,984,test
1065,957,validation
1066,985,validation
1067,986,validation
1068,987,test
1069,988,validation
1070,989,test
1071,990,test
1072,991,validation
1073,992,test
1074,992,validation
1075,992,test
1076,626,validation
1077,993,validation
1078,994,test
1079,995,validation
1080,996,test
1081,997,validation
1082,998,validation
1083,85,test
1084,999,test
1085,1000,validation
1086,1001,validation
1087,1002,test
1088,1003,test
1089,1004,test
1090,1005,test
1091,1006,test
1092,1007,validation
1093,1008,test
1094,1009,test
1095,1010,validation
1096,882,test
1097,1011,test
1098,1012,test
1099,1013,test
1100,1014,test
1101,1015,validation
1102,1016,test
1103,475,test
1104,475,validation
1105,177,test
1106,177,test
1107,1017,validation
1108,177,validation
1109,1017,validation
1110,1018,test
1111,1019,validation
1112,1020,validation
1113,27,test
1114,1021,test
1115,1022,validation
1116,1023,test
1117,1024,test
1118,1025,validation
1119,1026,validation
1120,1027,validation
1121,1028,validation
1122,1029,validation
1123,1030,test
1124,1030,test
1125,1031,test
1126,1032,validation
1127,1033,test
1128,1034,test
1129,1035,validation
1130,1036,validation
1131,1037,validation
1132,1038,validation
1133,1039,test
1134,1040,test
1135,1040,test
1136,1041,validation
1137,1042,test
1138,1043,validation
1139,1044,validation
1140,1045,validation
1141,1046,validation
1142,1047,validation
1143,1048,validation
1144,1049,validation
1145,1050,validation
1146,1051,test
1147,1052,validation
1148,1053,validation
1149,1054,test
1150,1055,validation
1151,1056,test
1152,1057,validation
1153,1058,validation
1154,1059,validation
1155,1060,validation
1156,1061,validation
1157,1062,test
1158,1063,validation
1159,1064,test
1160,1065,validation
1161,1066,test
1162,1067,validation
1163,1068,validation
1164,1069,validation
1165,1023,validation
1166,1023,validation
1167,1070,validation
1168,1071,validation
1169,1072,validation
1170,1073,test
1171,1029,validation
1172,1074,validation
1173,1073,test
1174,1075,test
1175,1076,validation
1176,1077,validation
1177,1078,test
1178,1079,test
1179,1073,test
1180,1040,validation
1181,1080,validation
1182,1081,validation
1183,1082,validation
1184,1083,validation
1185,1084,test
1186,1085,test
1187,1086,test
1188,1087,test
1189,1088,test
1190,1089,test
1191,1090,validation
1192,1091,test
1193,1060,validation
1194,1092,validation
1195,1093,test
1196,1094,test
1197,1095,validation
1198,1096,validation
1199,1097,test
1200,1098,test
1201,1099,validation
1202,1100,validation
1203,1101,validation
1204,1102,test
1205,1103,validation
1206,1104,test
1207,1105,test
1208,1106,test
1209,1107,validation
1210,1108,test
1211,1109,test
1212,1110,validation
1213,1111,test
1214,1112,validation
1215,1073,validation
1216,1113,test
1217,1114,validation
1218,1115,validation
1219,1116,validation
1220,1117,test
1221,1118,test
1222,1119,test
1223,1120,validation
1224,1121,validation
1225,1122,test
1226,1123,test
1227,1124,validation
1228,1023,test
1229,1125,test
1230,1126,test
1231,1127,test
1232,1128,validation
1233,1129,validation
1234,1029,test
1235,1130,test
1236,1131,test
1237,1132,test
1238,1133,validation
1239,1134,test
1240,1135,validation
1241,1073,test
1242,1136,test
1243,1137,validation
1244,1138,test
1245,1139,validation
1246,1140,validation
1247,1141,test
1248,1142,validation
1249,1143,validation
1250,1144,validation
1251,1145,test
1252,1146,validation
1253,1147,test
1254,1148,validation
1255,1073,test
1256,1149,validation
1257,1150,validation
1258,1151,validation
1259,1152,test
1260,1153,test
1261,1154,test
1262,1155,validation
1263,1156,test
1264,1157,test
1265,1158,test
1266,1159,validation
1267,1160,validation
1268,1161,test
1269,1162,test
1270,1163,test
1271,1164,test
1272,1165,test
1273,1166,test
1274,1167,test
1275,1168,validation
1276,1169,validation
1277,1037,validation
1278,1031,test
1279,1170,validation
1280,1171,validation
1281,1172,test
1282,1173,validation
1283,1174,test
1284,1175,test
1285,1176,test
1286,1177,test
1287,1178,validation
1288,1179,test
1289,1180,test
1290,1181,test
1291,1182,validation
1292,1183,test
1293,1184,test
1294,1185,validation
1295,1183,test
1296,1186,validation
1297,1187,validation
1298,1188,test
1299,1189,test
1300,1130,validation
1301,1190,validation
1302,1191,test
1303,1192,validation
1304,1193,validation
1305,1194,validation
1306,1195,validation
1307,1196,test
1308,1197,validation
1309,1198,test
1310,1199,validation
1311,1200,validation
1312,1201,validation
1313,1202,test
1314,1203,validation
1315,1204,validation
1316,1205,test
1317,1206,test
1318,1207,validation
1319,1204,validation
1320,1208,validation
1321,1209,test
1322,1210,test
1323,1211,test
1324,1212,validation
1325,1213,validation
1326,1214,test
1327,1215,validation
1328,1216,validation
1329,1217,validation
1330,1204,test
1331,1218,validation
1332,1219,validation
1333,1220,validation
1334,1221,test
1335,1222,validation
1336,528,test
1337,528,test
1338,1223,test
1339,1224,test
1340,1225,test
1341,1226,validation
1342,1227,validation
1343,1228,test
1344,1229,test
1345,1230,test
1346,1231,validation
1347,1232,validation
1348,1233,validation
1349,1234,test
1350,1235,test
1351,1236,test
1352,1237,test
1353,1238,validation
1354,1239,validation
1355,1240,test
1356,1241,test
1357,1242,test
1358,1243,validation
1359,1244,test
1360,1245,test
1361,1246,test
1362,1247,test
1363,1248,validation
1364,1249,test
1365,1250,validation
1366,1251,test
1367,1252,validation
1368,1253,test
1369,1254,validation
1370,1255,test
1371,1256,validation
1372,1257,validation
1373,1258,test
1374,1259,test
1375,1260,test
1376,1261,test
1377,1262,test
1378,1263,test
1379,1264,validation
1380,1263,test
1381,1265,test
1382,1266,validation
1383,1267,validation
1384,1268,validation
1385,1269,test
1386,1270,validation
1387,1271,validation
1388,1272,validation
1389,1273,validation
1390,1274,validation
1391,1275,test
1392,1276,test
1393,1277,test
1394,1278,validation
1395,1263,test
1396,1279,validation
1397,1280,test
1398,1281,test
1399,1282,test
1400,1283,validation
1401,1284,validation
1402,1285,test
1403,1286,validation
1404,1287,validation
1405,1288,test
1406,1289,test
1407,1290,test
1408,1291,validation
1409,1292,validation
1410,1292,test
1411,1292,test
1412,1293,test
1413,1294,test
1414,1295,validation
1415,1296,validation
1416,1297,validation
1417,1298,test
1418,1299,test
1419,1300,test
1420,1301,validation
1421,1302,test
1422,1303,test
1423,1296,test
1424,1304,validation
1425,1263,test
1426,1305,test
1427,1306,test
1428,1307,validation
1429,1308,test
1430,1309,validation
1431,1310,test
1432,1308,test
1433,1311,validation
1434,1312,validation
1435,1308,test
1436,1313,test
1437,1314,test
1438,1296,validation
1439,1315,validation
1440,921,validation
1441,1316,validation
1442,1317,test
1443,1318,validation
1444,1319,test
1445,1320,validation
1446,1321,test
1447,1322,validation
1448,1323,test
1449,1324,validation
1450,1325,test
1451,1326,test
1452,1327,validation
1453,1328,test
1454,1329,validation
1455,1330,test
1456,1331,test
1457,1332,test
1458,1333,validation
1459,1334,validation
1460,1335,validation
1461,1336,test
1462,1337,test
1463,1338,validation
1464,1339,validation
1465,1340,test
1466,1341,validation
1467,1342,test
1468,1343,test
1469,1344,validation
1470,1345,validation
1471,1346,validation
1472,1347,test
1473,1348,validation
1474,1349,test
1475,1350,test
1476,1351,test
1477,1352,test
1478,1353,validation
1479,1354,validation
1480,1355,test
1481,1354,validation
1482,1356,validation
1483,1357,validation
1484,1358,validation
1485,1359,validation
1486,1360,test
1487,1361,test
1488,1362,test
1489,1363,validation
1490,1364,validation
1491,1365,test
1492,1366,validation
1493,1367,validation
1494,1368,test
1495,1369,validation
1496,1370,validation
1497,1042,test
1498,1371,test
1499,1372,validation
1500,1373,validation
1501,1374,validation
1502,1375,test
1503,1376,test
1504,1377,validation
1505,1378,test
1506,1378,test
1507,1379,test
1508,1380,validation
1509,1381,test
1510,1382,test
1511,1383,test
1512,1384,test
1513,1385,validation
1514,1386,validation
1515,1387,validation
1516,1388,validation
1517,1389,validation
1518,1390,test
1519,1391,validation
1520,1392,validation
1521,1393,validation
1522,1394,validation
1523,1395,validation
1524,1396,validation
1525,1397,test
1526,1398,validation
1527,1399,validation
1528,1400,validation
1529,1401,validation
1530,1402,validation
1531,1403,validation
1532,1404,validation
1533,1405,test
1534,1363,validation
1535,1406,validation
1536,1407,test
1537,1408,test
1538,1409,test
1539,1381,validation
1540,1410,validation
1541,1411,validation
1542,1412,validation
1543,1413,test
1544,1414,test
1545,1415,test
1546,1416,validation
1547,1417,test
1548,1418,validation
1549,1419,validation
1550,1420,validation
1551,1421,test
1552,1135,validation
1553,1135,test
1554,1422,test
1555,1423,validation
1556,1424,test
1557,1425,test
1558,1426,test
1559,1427,test
1560,1428,validation
1561,1429,validation
1562,1430,test
1563,1431,test
1564,1432,test
1565,1433,test
1566,1434,test
1567,1435,test
1568,1436,validation
1569,1437,test
1570,1438,validation
1571,1439,validation
1572,1440,test
1573,1441,validation
1574,1442,validation
1575,1443,test
1576,1444,test
1577,1445,test
1578,1446,test
1579,1447,validation
1580,1448,test
1581,1449,validation
1582,1449,test
1583,1450,test
1584,1451,test
1585,1452,validation
1586,1383,test
1587,1453,test
1588,1454,test
1589,1455,validation
1590,1456,test
1591,1457,test
1592,1458,validation
1593,1459,test
1594,1460,validation
1595,1461,validation
1596,1462,test
1597,1463,validation
1598,1464,test
1599,1464,validation
1600,1465,test
1601,1466,test
1602,1467,test
1603,1468,validation
1604,1469,validation
1605,1470,validation
1606,1471,test
1607,1471,test
1608,1472,test
1609,1473,test
1610,1474,test
1611,1475,test
1612,1476,validation
1613,1128,test
1614,1477,test
1615,1478,validation
1616,1479,test
1617,1480,validation
1618,1481,test
1619,1482,validation
1620,1483,test
1621,1484,test
1622,1485,validation
1623,1486,test
1624,1487,test
1625,1488,validation
1626,1128,test
1627,1489,validation
1628,1490,test
1629,1491,validation
1630,1492,validation
1631,1493,validation
1632,1494,validation
1633,1495,validation
1634,1496,validation
1635,1497,validation
1636,1462,validation
1637,1498,test
1638,1499,validation
1639,1500,validation
1640,1501,test
1641,1502,test
1642,1503,test
1643,1504,validation
1644,1505,test
1645,1506,validation
1646,1507,validation
1647,1508,validation
1648,1509,validation
1649,1510,validation
1650,1511,test
1651,1512,test
1652,1513,validation
1653,1514,validation
1654,1515,validation
1655,1516,test
1656,1517,test
1657,1518,test
1658,1519,validation
1659,1520,test
1660,1521,test
1661,1522,validation
1662,1523,validation
1663,1524,validation
1664,1525,validation
1665,1526,test
1666,1527,validation
1667,1528,validation
1668,1529,validation
1669,1530,validation
1670,1531,test
1671,1532,test
1672,1533,test
1673,1534,validation
1674,1535,validation
1675,1536,validation
1676,1537,validation
1677,1538,test
1678,1539,validation
1679,1540,validation
1680,1541,validation
1681,1542,validation
1682,1543,validation
1683,1544,validation
1684,1545,validation
1685,1546,validation
1686,1547,validation
1687,1548,validation
1688,1549,test
1689,1474,validation
1690,1550,test
1691,1551,test
1692,1552,validation
1693,1553,validation
1694,1554,test
1695,1555,validation
1696,1556,validation
1697,1557,test
1698,1558,validation
1699,1551,validation
1700,1559,validation
1701,1560,validation
1702,1561,test
1703,1562,test
1704,1563,validation
1705,1564,validation
1706,1565,test
1707,1566,validation
1708,1567,validation
1709,1568,test
1710,1569,test
1711,1570,validation
1712,1571,test
1713,1572,test
1714,1573,validation
1715,1574,validation
1716,1575,test
1717,1576,test
1718,1577,test
1719,1578,validation
1720,1579,test
1721,1580,test
1722,1581,validation
1723,1582,test
1724,1583,validation
1725,1584,test
1726,1585,test
1727,1586,test
1728,1587,validation
1729,1588,test
1730,1589,test
1731,1590,test
1732,1591,test
1733,1592,validation
1734,1593,validation
1735,1594,test
1736,1595,test
1737,1596,validation
1738,1597,test
1739,1598,test
1740,1599,test
1741,1600,test
1742,1601,test
1743,1602,test
1744,1603,test
1745,1604,test
1746,1604,test
1747,1605,test
1748,1606,test
1749,1607,validation
1750,1608,validation
1751,1609,validation
1752,1610,test
1753,1611,validation
1754,1612,test
1755,1551,validation
1756,1613,test
1757,1614,validation
1758,1615,validation
1759,1616,validation
1760,1609,test
1761,1617,validation
1762,1618,test
1763,1619,test
1764,1620,validation
1765,1621,test
1766,1622,test
1767,1623,test
1768,1624,validation
1769,1625,validation
1770,1626,test
1771,1627,validation
1772,1628,validation
1773,1629,validation
1774,1630,validation
1775,1631,test
1776,1632,test
1777,1633,test
1778,1634,test
1779,1635,test
1780,1636,test
1781,1637,validation
1782,1638,validation
1783,1639,test
1784,1640,test
1785,1641,validation
1786,1642,test
1787,1643,validation
1788,1644,test
1789,1645,test
1790,1646,validation
1791,1647,validation
1792,1648,validation
1793,1649,test
1794,1650,validation
1795,1651,test
1796,1652,validation
1797,1653,test
1798,1654,test
1799,1655,validation
1800,1656,test
1801,1657,test
1802,1658,validation
1803,1659,test
1804,1660,test
1805,1661,test
1806,1662,validation
1807,1663,validation
1808,1664,test
1809,1665,validation
1810,1666,validation
1811,1544,test
1812,1667,validation
1813,1668,test
1814,1669,test
1815,1670,test
1816,1474,validation
1817,1671,test
1818,1672,test
1819,1673,validation
1820,1674,test
1821,1675,validation
1822,1676,validation
1823,1677,validation
1824,1678,validation
1825,1679,test
1826,1680,validation
1827,1681,validation
1828,1682,validation
1829,1683,validation
1830,1684,test
1831,1685,test
1832,1686,test
1833,1687,test
1834,1688,validation
1835,1689,test
1836,1690,validation
1837,1691,test
1838,1692,validation
1839,1693,test
1840,1694,test
1841,254,validation
1842,1695,test
1843,1696,validation
1844,1697,test
1845,1698,validation
1846,1699,test
1847,1700,test
1848,1701,validation
1849,1702,test
1850,1703,validation
1851,1704,validation
1852,1705,validation
1853,1706,validation
1854,1707,validation
1855,1708,validation
1856,1709,validation
1857,1710,validation
1858,1711,validation
1859,1712,test
1860,1713,test
1861,1714,test
1862,1715,validation
1863,1716,validation
1864,1717,test
1865,1718,validation
1866,1696,test
1867,1719,test
1868,1720,test
1869,1721,test
1870,1722,validation
1871,1723,test
1872,1724,test
1873,1725,test
1874,1726,validation
1875,1727,validation
1876,1728,test
1877,1729,test
1878,1730,validation
1879,1731,validation
1880,1732,test
1881,1733,validation
1882,1734,test
1883,1735,test
1884,1736,validation
1885,1714,test
1886,1737,test
1887,1738,validation
1888,1739,validation
1889,1740,validation
1890,1741,validation
1891,1742,test
